File_name,Channel,Sample_width,Frame_rate,Frame_width,Duration (ms),Frame_count,Intensity,Energy,Zero_crossing_rate,Root Mean Square,Spectral Centroid,Spectral Bandwidth,MFCC,Max_frequency,Min_frequency
"0_1_2021_06_17_090407_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,54,5400.0,-29.11016093795526,0.020308290209089006,0.0,0.10518029,998.4843423040384,2107.519848731906,0.47426146,0.19365251,0.0
"0_2_2021_06_17_091517_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,54,5400.0,-25.954057233938485,0.011111284382251911,0.0,0.0776281,1256.9886330443408,2368.0971315017373,-0.16165046,0.1517791,0.0
"0_3_2021_06_17_092721_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,54,5400.0,-26.821986749606754,0.0027264684750227977,0.009223918575063614,0.0376597,1682.5599046652467,2635.3398520831743,-1.9550731,0.08033434,-0.087305844
"0_4_2021_06_17_094050_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,54,5400.0,-20.414778195089106,0.0005294587138637848,0.022900763358778626,0.016973132,2088.884342036318,2753.0200452794365,-6.850512,0.023873566,-0.05028882
"0_5_2021_06_17_095438_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,54,5400.0,-24.989071289292774,0.0012031655380691307,0.0012722646310432569,0.025161877,1635.2814260600455,2593.20350446466,-6.013117,0.066702254,-0.0019516615
"0_6_2021_06_17_100733_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,55,5500.0,-26.868622510703226,0.0008282128559506458,0.013040712468193385,0.020707184,1799.8034668621046,2651.2817352297593,-5.1949377,0.05662623,-0.039308634
"0_7_2021_06_17_102035_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,55,5500.0,-25.305479737515853,0.003773594680039779,0.015903307888040712,0.044580054,1433.2772101352787,2368.925851304329,-1.2560089,0.11860601,-0.021731291
"0_8_2021_06_17_104047_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,55,5500.0,-21.130201461387834,0.013123960598655369,0.0,0.08274553,1138.9222507560883,2257.486795911684,0.150251,0.1449194,0.0
"0_9_2021_06_17_105536_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,55,5500.0,-29.65662348217996,0.00044031921720159227,0.01812977099236641,0.015152257,1974.9232507815038,2677.6603495024974,-6.8743544,0.043847077,-0.030860435
"0_10_2021_06_17_110845_Sound_Pa_SF0000002,0000.wav",1,2,100000,2,55,5500.0,-22.781109858449035,0.013155645609732704,0.0,0.084424175,984.4942149986069,2152.3691282465247,-2.2453125,0.17530261,0.0
